,time,count,length,before,after
0,0.0252,16,205,"Maple leaf,autumn,brook,{{{dynamic light}}},spring,a girl,white dress,white long hair,small chest,cat ears,half body,full moon,masterpiece,best quality,official art,extremely detailed CG unity 8k wallpaper","maple leaf,autumn,brianne,{{{night light}}},spring,1girl,white dress,white hair,chest,cat ears,prison,full moon,masterpiece,best quality,official art,gondola"
1,0.0147,13,165,"Japanese temple,dusk,dynamic light,a girl,perspective,back,kimono,highlight,bird house,best quality,masterpiece,official art,extremely detailed CG unity 8k wallpaper","kanda shrine,dusk,night light,1girl,perspective,back,kimono,class,birdhouse,best quality,masterpiece,official art,gondola"
2,0.0328,38,635,"((illustration)), ((floating hair)), ((chromatic aberration)), ((caustic)), lens flare, dynamic angle, ((portrait)), (1 girl), ((solo)), cute face, ((hidden hands)), asymmetrical bangs, (beautiful detailed eyes), eye shadow, ((huge clocks)), ((glass strips)), (floating glass fragments), ((colorful refraction)), (beautiful detailed sky), ((dark intense shadows)), ((cinematic lighting)), ((overexposure)), (expressionless), blank stare, big top sleeves, ((frills)), hair_ornament, ribbons, bowties, buttons, (((small breast))), pleated skirt, ((sharp focus)), ((masterpiece)), (((best quality))), ((extremely detailed)), colorful, hdr","((reconstruction)), floating hair)), chromatic aberration)), caustic tar)), lens flare, peeping, portrait)), girl), fuel)), awesome face, hand to hand)), asymmetrical bangs, eyes), bloodshot eyes, analog clock)), rubber band)), cracked glass), chromatic aberration)), cloudy sky), ominous shadow)), lens flare)), overexposure)), distress), blank stare, up sleeve, too many frills)), gift hair ornament, ribbon, bowtie, buttons, breast conscious))), pleated skirt, shot)), favorite meme)), best quality))), oked oc)), colorful, a"
3,0.0139,12,185,"library,Columnarbookshelf,limestone cave,best quality,in the desert ,cactus,Architectural relics,wilderness,a sunny day,official art,extremely detailed CG unity 8k wallpaper,masterpiece","library,book stand,cave,best quality,seaside ,cactus,map object,forest,sunny peace,official art,gondola,masterpiece"
4,0.0161,15,233,"desert,karst landform,dry,rock,Huge mechanical parts,Temple Relics,Black stele,Desert Ruins,best quality,official art,extremely detailed CG unity 8k wallpaper,Genshin Impact,beautiful detailed sky,on a desert+nsfw,{{{{{{{Oasis}}}}}}}","desert,whirlpool,dry,rock,mechanical parts,religious offering,black dog,ruins,best quality,official art,gondola,handguard genshin impact,cloudy sky,the cake is a lie,{{{{{{{oasis}}}}}}}"
5,0.0148,13,246,"{{{{{{Indoor scientific experiment center}}}}}},science fiction,factory,{{{display device}}},Structure of large blocks,Digital painting,pipe,best quality,official art,extremely detailed CG unity 8k wallpaper,Genshin Impact,absurdres,huge filesize","{{{{{{apartment}}}}}},science fiction,factory,{{{receiver module}}},equal sign,speedpaint,pipe,best quality,official art,gondola,handguard genshin impact,absurdres,fainting"
6,0.019,17,175,"Cattle, animal ear, medium chest, kimono, lakeside, summer, green, forest, {{{birds}}}}, blue sky, white clouds, dynamic light, sunlight, highlight, masterpiece, a girl, bloom","slope, raccoon ears, chest furniture, kimono, seaside, summer, green, forest, bird}}}}, blue sky, white sky, night light, sunlight, class, masterpiece, 1girl, bloom"
7,0.0441,50,522,"Girl,photo,dynamic light,sunshine,highlight,masterpiece,sunset,exquisite girl,ASK,bloom,illustration,white hair,red eyes,cherry tree,ponytail,straw hat,dress,Genshin Impact,seashore,shell,distant view,mountain,exquisite golden beach,coconut tree with good texture,daytime,white clouds,thick coating,transparent,blue sea,seabirds,flowers,rocks,starfish,fruits,Seagull,butterfly,forest,crab,dolphin,lighthouse,reef,wild flower,banana,fill light,reflective,,best quality,official art,extremely detailed CG unity 8k wallpaper,","girl,photo,night light,sunshine (1638509769,class,masterpiece,sunset,goddess,see,bloom,reconstruction,white hair,red eyes,cherry tree,ponytail,straw hat,dress,handguard genshin impact,seaside,shell,from ground,mountain,yellow fire,fruit background,sight,white sky,spilled milk,transparent,blue sea,twitter bird,flowes,stone (stones,starfish,fruit,seagull,butterfly,forest,crab,dolphin,lighthouse,spruce,sweet flower,banana,light,reflection,,best quality,official art,gondola,"
8,0.0194,18,210,"Girl,medium chest,masterpiece,brown hair,high horsetail,school uniform,village,green long scarf,summer,sunshine,dynamic light,highlight,bloom,,best quality,official art,extremely detailed CG unity 8k wallpaper,","girl,chest furniture,masterpiece,brown hair,horsetail plant,school uniform,village,green scarf,summer,sunshine (1638509769,night light,class,bloom,,best quality,official art,gondola,"
9,0.0316,34,417,"A girl,standing,armor,shock wave,mountain slope,dragon,rain,thunder,tears,dynamic light,highlight,masterpiece,particle special effect,sunlight,best quality,official art,extremely detailed CG unity 8k wallpaper, + nsfw, lowres, bad anatomy, bad hands, text error, missing fingers, extra digits, fewer digits, cropped, worst quality, low quality, standard quality, jpeg artifacts, signature, watermark, username, blurry","1girl,standing,armor,shockwave,mountaintop,dragon,rain,thunder,tears,night light,class,masterpiece,burst,sunlight,best quality,official art,gondola, necrophilia, lowres, bad anatomy, bad hands, wall of text, giant hand, digits, fewer digits, cropped, worst quality, low quality, historical, jpeg artifacts, signature, watermark, username tag, blurry"
10,0.0329,39,447,"At noon,Sallulu,yellow light,reflection,sunlight,highlight,particle effect,edge light,light transmission,softness and transition,illustration,masterpiece,high quality,lady,girl,temptation,blue eyes,long hair,white hair,white necklace,white lace underwear,white stockings,bedroom,indoor light,pillow,rr bed,medium chest,liquid,curtain,vase,desk lamp,yellow plush toys,desk,Luxury,,official art,best quality,extremely detailed CG unity 8k wallpaper,","tuesday,gawami,yellow theme,reflection,sunlight,class,unusual effect,heat rock,light,dreaming,reconstruction,masterpiece,high quality,mprincess,girl,break up,blue eyes,long hair,white hair,white choker,white panties,white pantyhose,bedroom,studio lights,pillow,heart bed,chest furniture,liquid,curtains,vase,desk lamp,yellow flower,desk,exotic,,official art,best quality,gondola,"
11,0.0354,41,663,"medium chest,masterpiece,dynamic light,highlight,bloom,white hair,pink lipstick,pink powder blusher,long eyelashes,{{{{eye shadow}}}},sweater,off shoulder,short skirt,pink stockings,black hair band,{{best quality}},official art,{{extremely detailed CG unity 8k wallpaper}},standing,{{{mole under eye}}},{hand on own chest},in the market,{{{dyed bangs}}},{{{{{slim}}}}},{{{one adorable girl}}},{{hair over shoulder}},{{{{{cute face}}}}},{{alternate hair length}},{{floating hair}}, {{chromatic aberration}},{{caustic}}, lens flare, dynamic angle, {{portrait}},{{cinematic lighting}}, {beautiful detailed eyes},{{{{playgrr}}}},colorful, hdr, {{extremely detailed}},","chest furniture,masterpiece,night light,class,bloom,white hair,pink lipstick,pink bag,long eyelashes,{{{{bloodshot eyes}}}},sweater,off shoulder,holding skirt,pink legwear,hair band,{{best quality}},official art,{{gondola}},standing,{{{mole under eye}}},{hand on own chest},market,{{{dyed bangs}}},{{{{{tress}}}}},{{{game girl}}},{{hair over shoulder}},{{{{{awesome face}}}}},{{alternate hair length}},{{floating hair}}, chromatic aberration}},{{determinable unstable}}, lens flare, peeping, portrait}},{{glowing}}, eyes},{{{{playdia}}}},colorful, a, oked oc}},"
12,0.0309,38,635,"((illustration)), ((floating hair)), ((chromatic aberration)), ((caustic)), lens flare, dynamic angle, ((portrait)), (1 girl), ((solo)), cute face, ((hidden hands)), asymmetrical bangs, (beautiful detailed eyes), eye shadow, ((huge clocks)), ((glass strips)), (floating glass fragments), ((colorful refraction)), (beautiful detailed sky), ((dark intense shadows)), ((cinematic lighting)), ((overexposure)), (expressionless), blank stare, big top sleeves, ((frills)), hair_ornament, ribbons, bowties, buttons, (((small breast))), pleated skirt, ((sharp focus)), ((masterpiece)), (((best quality))), ((extremely detailed)), colorful, hdr","((reconstruction)), floating hair)), chromatic aberration)), caustic tar)), lens flare, peeping, portrait)), girl), fuel)), awesome face, hand to hand)), asymmetrical bangs, eyes), bloodshot eyes, analog clock)), rubber band)), cracked glass), chromatic aberration)), cloudy sky), ominous shadow)), lens flare)), overexposure)), distress), blank stare, up sleeve, too many frills)), gift hair ornament, ribbon, bowtie, buttons, breast conscious))), pleated skirt, shot)), favorite meme)), best quality))), oked oc)), colorful, a"
13,0.022,23,408,"ramatic angle,(fluttered detailed ink splashs),(illustration),(((1 girl))),(long hair),(rain:0.6),((expressionless)),((carmine hair ornament:1.4)),(there is a palace far away from the girl),chinese clothes,((focus on the girl)),color ink wash painting,(ink splashing),(huaqing splashing),((colorful)),[sketch],masterpiece,best quality,beautifully painted,highly detailed,(denoising:0.7),[splash ink],yin yang","localized gravity,(moonlight butterfly),(reconstruction),(((1girl))),(long hair),(rain:0.6),((expressionless)),((pill hair ornament:1.4)),(the kingdom),chinese clothes,((father and daughter)),watercolor (medium,(ink stain),(jiuming a),((colorful)),[sketch],masterpiece,best quality,painted,shudder,(backspace:0.7),[inkstick],yin yang"
14,0.0105,7,84,"over the sea,one girl,white pupils,high ponytail,wedding dress,necklace,official art","landing,one girl,white pupils,high ponytail,wedding dress,necklace,official art"
15,0.0295,34,407,"{{{masterpiece}}},{{{best quality}}},{{ultra-detailed}},{illustration},{{an extremely delicate and beautiful}},dynamic angle,floating,{{detailed light 1girl}},loli,small_breasts,floating_hair,pointy_ears,halter dress,feather,leaves,river,{forest},{painting},{sketch},{bloom},depth of field,rough sketch,gothic,halloween,faceless male,crazy,dark persona,wings,straw hat,monster,ghost,star (symbol,knife,sword","{{{masterpiece}}},{{{best quality}}},{{transgender}},{reconstruction},{{soft beauty}},peeping,floating,{{glass girl}},loli,convenient breasts,floating hair,ears,halter dress,feather (feathers,foliage,river,{forest},{painting},{sketch},{bloom},depth of field,sketch,gothic,halloween,faceless male,crazy,dark persona,wings,straw hat,monster,ghost,star (symbol,knife,sword"
16,0.0225,24,264,"1 little girl,long white hair,center frills dress,beautiful face,sitting arr a desk,in winter,snow,female,nose,pale skin,twin braids,idol,asian,eyelashes,freckles,wavy hair,long hair,brown hair,eyebrows,sweater jacket,green eyes,light blush,hoodie,high-waist skirt","little little princess,platinum blonde hair,t-shirt dress,dirty face,sitting,winter,snow,sg,nose,pale skin,twin braids,idol,asian,eyelashes,freckles,wavy hair,long hair,brown hair,eyebrows,sweater jacket,green eyes,light blush,hoodie,high-waist skirt"
17,0.0104,9,82,"dynamic light,crazy mind,diamond,{joker},kill,hell,star,{black hole},giant machine","night light,play,diamond (shape,{biz6ls},biz6ls,hell,star,{black hole},machinery"
18,0.0286,33,602,"{{{masterpiece}}},{{the best quality}},super fine illustrations,beautiful and delicate water,Depth of field,fine 8KCG wallpapers,{extremely delicate and beautiful},{clear face},{delicate light},{{cinematic lighting}},detailed face,{portrait},Portrait lens,{{{Alphonse Mucha}}},{{Fantasy style}},{{shine}},{{{Tarot card}}},{lace},{ribbon},{detailed clothes},{multicolored Butterfly},{neon palette},{{{detailed flowers fill the screen}}},{{{{{{{Fill the screen 1 girl}}}}}}},long golden hair,pose,sage,druid,{{{{decorated green cloak}}}},decorated green hood,{{{detailed leaves fill the screen}}},no bra,","{{{masterpiece}}},{{best quality}},liking (artist,fountain of dreams,depth of field,wallpaper forced,{soft beauty},{wide face},{night light},{{glowing}},narrowed eyes,{portrait},camera lens,{{{william bouguereau}}},{{fantasy}},{{shine}},{{{tarot set}}},{lace},{ribbon},{nursing clothes},{swallowtail butterfly},{neon palette},{{{transparent flower}}},{{{{{{{compilation}}}}}}},spectral hair,pose,shore,druid,{{{{green kimono}}}},ribbon-trimmed hood,{{{wing print}}},no bra,"
19,0.0399,45,651,"{{{masterpiece}}},best quality,illustration,beautiful detailed glow,clear edges,detailed ice,red moon,{magic circle:1},{beautiful detailed eyes},expressionless,beautiful detailed white gloves,own hands clasped,{floating palaces:1.1},azure hair,long bangs,hairs between eyes,dark dress,{dark magician girl:1.1},white bowties,{{{half closed eyes}}},,big forhead,blank stare,flower,large top sleeves,{start sky:1.2},{{{solo}}},only one girl in the picture,nontraditional miko,gothic lolita,silhouette,yokozuwari,in a meadow,in the cyberpunk city,1girl,happy,smile,open mouth,cute face,long hair,white hair,lingerie,socks removed,hair ornament,hair flower","{{{masterpiece}}},best quality,reconstruction,glowing,shattering,straw berry ice,red moon,{magic circle:1},{eyebrows},expressionless,white gloves,own hands clasped,{floating continent:1.1},blue hair,long bangs,crying with eyes open,puffy dress,{character:dark magician:1.1},white bowtie,{{{half-closed eyes}}},,sacrifice,blank stare,flower,cropped shirt,{signal:1.2},{{{+ +}}},when you see it,nontraditional miko,gothic lolita,silhouette,yokozuwari,meadow,city lights,1girl,happy,smile,open mouth,awesome face,long hair,white hair,lingerie,socks removed,hair ornament,hair flower"
20,0.0617,79,1067,"{{illustration}},{{floating hair}},{{chromatic aberration}},{{caustic}},lens flare,dynamic angle,{1 girl},{{solo}},cute face,{{hidden hands}},asymmetrical bangs,{beautiful detailed eyes},eye shadow,{{huge clocks}},{{glass strips}},{floating glass fragments},{{colorful refraction}},{{dark intense shadows}},{{cinematic lighting}},{{overexposure}},{expressionless},blank stare,big top sleeves,{{frills}},hair_ornament,ribbons,bowties,buttons,{{{small breast}}},pleated skirt,{{sharp focus}},{{masterpiece}},{{{best quality}}},{{extremely detailed}},colorful,hdr,portrait,game cg,backgrr characters,contemporary,yokozuwari,motion blur,character:moriya suwako,character:kagamine len,tanlines,doggystyle,retro artstyle,bubble,demon girl,smile,longeyelashes,crying,wide eyed,brown hair,eyebrows visible through hair,silver hair,grey hair,earrings,glasses,bracelet,rabbit tail,hand fan,gem,hair ear,sunglasses,black nails,half gloves,own hands together,back-to-back,fisting,bunny,in winter,in the cyberpunk city,nature,snow,floral backgrr,black eyes,pointy ears,otoko no ko","{{reconstruction}},{{floating hair}},{{chromatic aberration}},{{determinable unstable}},lens flare,peeping,{1girl},{{+ +}},awesome face,{{giant hand}},asymmetrical bangs,{eyebrows},bloodshot eyes,{{too many clocks}},{{metal wire}},{glass shards},{{refraction}},{{ominous shadow}},{{glowing}},{{overexposure}},{expressionless},blank stare,up sleeve,{{frills}},gift hair ornament,ribbon,bowtie,buttons,{{{convenient breasts}}},pleated skirt,{{eye focus}},{{masterpiece}},{{{best quality}}},{{satire}},colorful,a,portrait,game cg,character:bitter & sweet,contemporary,yokozuwari,motion blur,character:2.0:moriya suwako,character:2.0:kagamine len,tanlines,doggystyle,retro artstyle,bubble,demon girl,smile,cosed eyes,crying,wide eyed,brown hair,eyebrows visible through hair,silver hair,grey hair,earrings,glasses,bracelet,rabbit tail,hand fan,gem,hair ears,sunglasses,black nails,gloves,holding hands,back-to-back,fisting,bunny,winter,city lights,nature,snow,floral background,black eyes,pointy ears,otoko no ko"
21,0.008,4,42,"golden dragon,night,full of star,full moon","golden fleece,night,falling star,full moon"
22,0.0297,34,591,"((master piece)),((best quality)),illustration,colorful,(ultra-detailed),beautiful detailed eyes,beautiful detailed hair,exquisite  eyes,((an extremely delicate and beautiful)),(dynamic angle),hair spread out,ruffling hair,hair floral print,hair half undone,1girl,dragon girl,a big dragon stands behind the girl,green eyes,mechanical equipment,mechanical armor,exposing the belly,broken clothes,small breasts,(cold face),rain day,thunder,arknights,exquisite and beautiful silver dragon armor,(( white hair)),watercolor,(aestheticism painting),filigree,exquisite and beautiful dragon,grey day","((great present)),((best quality)),reconstruction,colorful,(transgender),eyebrows,impossible hair,eyes,((soft beauty)),(peeping),hair spread out,ruffling hair,polka dot hair ornament,hair half undone,1girl,dragon girl,sloth girl,green eyes,mechanization,scale armor,belly,tearing clothes,small breasts,(blank eyes),rain,thunder,elite ii arknights,platinum dragon lord,(( white hair)),watercolor medium,(art gallery),filigree,divine dragon,grey sky"
23,0.0106,9,86,"bug,robot,character design,strong rim light,surrred,wings,blood on face,forehead mark,","bug,robot,character:mastering,backlighting,s-day,wings,blood on face,forehead mark,"
24,0.0156,17,212,"a young goddess,reclining,in the air,{{holding a beautiful bird}},long dress,queen,ancient,crown,snow in the backgrr,sitting on a huge bird,{{game cg}},{{retro artstyle}},fire,white hair,,jewelry,surrred by birds","goddess,reclining,liftoff,{{holding bird}},long dress,queen,ancient,crown,snowing,sitting on animal,{{game cg}},{{retro artstyle}},fire,white hair,,jewelry,too many birds"
25,0.0136,13,127,"christmas,fire,brown eyes,short hair,black hair,multiple girls,indian style,retro artstyle,snowing,starry sky,dark,red backgrr,","christmas,fire,brown eyes,short hair,black hair,multiple girls,indian style,retro artstyle,snowing,starry sky,dark,red x,"
26,0.0123,11,177,"Columnarbookshelf,limestone cave,best quality,in the desert ,cactus,Architectural relics,wilderness,a sunny day,official art,extremely detailed CG unity 8k wallpaper,masterpiece","book stand,cave,best quality,seaside ,cactus,map object,forest,sunny peace,official art,gondola,masterpiece"
27,0.0113,10,84,"girl, sheep ear, sheep body,glowing,watercolor, universe, cute, 8k, technology, star","girl, ox ears, stuffed sheep,glowing,watercolor medium, universe, cute, bbs, technology, star"
28,0.01,7,64,"muscular male,one boy,dark skin,wings,smile,disheveled hair,wind","muscular male,one boy,dark skin,wings,smile,expressive hair,wind"
